Year,Month,Site,Type,Easting,Northing,PM10,PM10_modelled,Hurs,Psl,Rainfall,SfcWind,Sun,Tas,NDVI,UR,PopDen,nearest_road_distance
2016,1,West Lothian Broxburn,Roadside,308314.04,672230.25,13.38064516,11.25988,87.43049449,1001.866262,146.4603587,4.536488368,30.12952455,4.258911364,0.63473512,Rural Areas,0.002236293,7.21704839
2016,1,West Lothian Linlithgow High Street 2,Roadside,300419.7,677120.9,13.59354839,10.37993,88.32731739,1001.863435,158.1202156,5.316384183,26.06096308,4.542449724,0.20527786,Other Urban Areas,0.001483517,6.003113457
2016,1,West Lothian Newton,Roadside,309258,677728.99,14.66071429,11.79362,87.71676315,1001.852998,169.8654072,5.705177777,30.38198783,4.18980736,0.46775368,Rural Areas,4.42E-05,5.755533574
2016,2,Aberdeen Anderson Dr,Roadside,392504.39,804189.75,12.28275862,10.55266,76.3144753,1002.577512,41.85622666,5.892685841,101.2902677,3.542060067,0.43188144,Large Urban Areas,0.005123445,14.49298793
2016,2,Aberdeen Errol Place,Rest,394395.8,807391.98,9.414285714,10.31663,76.0313088,1002.541347,43.7402155,6.046297482,102.9133358,3.820774392,0.35453776,Large Urban Areas,0.006877316,76.62294631
2016,2,Aberdeen King Street,Roadside,394333,808770,15.15517241,10.17115,76.31364976,1002.530481,41.65424257,5.907191927,103.6077904,3.857722354,0.50935088,Large Urban Areas,0.003926085,9.599338545
2016,2,Aberdeen Market Street 2,Roadside,394551.62,805673.18,15.75517241,11.62385,76.24758996,1002.561824,42.94123342,6.041236908,103.6350148,3.835612969,0.22409628,Large Urban Areas,0.003730111,7.363513475
2016,2,Aberdeen Union Street Roadside,Roadside,393655.92,805967.6,14.2,10.77242,76.15183501,1002.566379,43.78020023,5.909490496,102.1961591,3.690720695,0.32540832,Large Urban Areas,0.008052278,13.61053035
2016,2,Aberdeen Wellington Road,Roadside,394410.99,804813.2,18.19655172,10.55765,76.47386029,1002.568853,43.94067951,6.404091976,103.7150341,3.696347515,0.43798636,Large Urban Areas,0.004007295,9.754705711
2016,2,Alloa A907,Roadside,288689,693068,14.21034483,10.26566,83.05637481,1004.152298,115.3635569,4.768891851,70.63710904,3.675853127,0.47104532,Other Urban Areas,0.003703423,2.820852372
2016,2,Angus Forfar Glamis Road,Roadside,345249,750386,8.679310345,10.58091,81.61701235,1003.325757,49.11388563,4.221766433,100.087739,2.782464465,0.59188768,Rural Areas,0.003187089,13.91187362
2016,2,Auchencorth Moss,Rest,322165.87,656128.11,4.718181818,7.887264,84.1360811,1004.410281,85.74509175,5.131336834,72.82426342,2.285856329,0.60520228,Rural Areas,1.31E-05,1330.025786
2016,2,Dundee Broughty Ferry Road,Industrial,341970.73,730976.51,12.01071429,9.713922,79.58376525,1003.517547,46.45491891,4.340579773,103.3047888,4.127403558,0.38887924,Rural Areas,0.003567147,11.47388376
